536	Spiked	9	20	7	12:01:16 AM
537	Served	18	Over/In Net	7	12:01:36 AM
538	Defense	5	23	7	12:01:56 AM
539	Pass	6	75	7	12:01:58 AM
540	Spiked	6	41	7	12:01:59 AM
541	Defense	4	65	7	12:02:02 AM
542	Pass	6	66	7	12:02:03 AM
543	Spike	4	74	7	12:02:04 AM
544	Defense	13	31	7	12:02:30 AM
545	Pass	6	50	7	12:02:31 AM
546	Spike	2	80	7	12:02:33 AM
547	Spiked	2	64	7	12:02:34 AM
548	Defense	5	29	7	12:02:38 AM
549	Pass	6	66	7	12:02:40 AM
550	Spike	2	81	7	12:02:41 AM
551	Spiked	2	12	7	12:02:42 AM
552	Served	9	39	7	12:03:09 AM
553	Defense	13	40	7	12:03:17 AM
554	Ground		74	7	12:03:19 AM
555	Defense	13	31	7	12:03:46 AM
556	Pass	9	12	7	12:03:49 AM
557	Spike	4	Side Out 3	7	12:03:50 AM
558	Spiked	4	60	7	12:03:52 AM
559	Defense	9	24	7	12:03:54 AM
560	Pass	6	77	7	12:03:55 AM
561	Spike	4	81	7	12:03:57 AM
562	Spiked	4	21	7	12:03:58 AM
563	Defense	13	49	7	12:04:02 AM
564	Defense	13	31	7	12:05:21 AM
565	Pass	6	74	7	12:05:23 AM
566	Spike	4	80	7	12:05:24 AM
567	Spiked	4	56	7	12:05:25 AM
568	Defense	2	65	7	12:05:30 AM
569	Pass	6	75	7	12:05:31 AM
570	Spike	4	81	7	12:05:33 AM
571	Spiked	4	21	7	12:05:35 AM
572	Served	6	24	7	12:05:58 AM
573	Defense	4	61	7	12:06:01 AM
574	Pass	13	50	7	12:06:02 AM
575	Spiked	13	58	7	12:06:04 AM
576	Served	6	33	7	12:06:26 AM
577	Defense	6	57	7	12:06:30 AM
578	Pass	5	75	7	12:06:31 AM
579	Spike	9	32	7	12:06:34 AM
580	Spiked	9	59	7	12:06:34 AM
581	Ground		62	7	12:06:38 AM
582	Defense	9	31	7	12:07:00 AM
583	Pass	4	Side Out 3	7	12:07:02 AM
584	Spike	2	55	7	12:07:04 AM
585	Spiked	2	22	7	12:07:06 AM
586	Ground		8	7	12:07:09 AM
587	Defense	13	14	7	12:07:25 AM
588	Pass	5	51	7	12:07:27 AM
589	Spike	2	73	7	12:07:29 AM
590	Spiked	2	40	7	12:07:30 AM
591	Defense	9	20	7	12:07:34 AM
592	Pass	6	47	7	12:07:35 AM
593	Spike	4	81	7	12:07:37 AM
594	Defense	13	40	7	12:08:00 AM
595	Pass	6	75	7	12:08:02 AM
596	Spike	5	76	7	12:08:03 AM
597	Spiked	5	56	7	12:08:04 AM
598	Served	2	33	7	12:08:31 AM
599	Ground		5	7	12:08:35 AM
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
